chip_id	sample	hm	input_id	CEMT_JSD	CEMT_JSD_synthetic	AUC_bs_200	X-intercept_bs_200	Elbow_Point_bs_200	JS_Distance_bs_200	Synthetic_JS_Distance_bs_200	%_genome_enriched_bs_200	CHANCE_bs_200	AUC_bs_500	X-intercept_bs_500	Elbow_Point_bs_500	JS_Distance_bs_500	Synthetic_JS_Distance_bs_500	%_genome_enriched_bs_500	CHANCE_bs_500	AUC_bs_1000	X-intercept_bs_1000	Elbow_Point_bs_1000	JS_Distance_bs_1000	Synthetic_JS_Distance_bs_1000	%_genome_enriched_bs_1000	CHANCE_bs_1000	AUC_bs_5000	X-intercept_bs_5000	Elbow_Point_bs_5000	JS_Distance_bs_5000	Synthetic_JS_Distance_bs_5000	%_genome_enriched_bs_5000	CHANCE_bs_5000	AUC_bs_10000	X-intercept_bs_10000	Elbow_Point_bs_10000	JS_Distance_bs_10000	Synthetic_JS_Distance_bs_10000	%_genome_enriched_bs_10000	CHANCE_bs_10000	AUC_bs_20000	X-intercept_bs_20000	Elbow_Point_bs_20000	JS_Distance_bs_20000	Synthetic_JS_Distance_bs_20000	%_genome_enriched_bs_20000	CHANCE_bs_20000	AUC_bs_30000	X-intercept_bs_30000	Elbow_Point_bs_30000	JS_Distance_bs_30000	Synthetic_JS_Distance_bs_30000	%_genome_enriched_bs_30000	CHANCE_bs_30000	AUC_bs_40000	X-intercept_bs_40000	Elbow_Point_bs_40000	JS_Distance_bs_40000	Synthetic_JS_Distance_bs_40000	%_genome_enriched_bs_40000	CHANCE_bs_40000	AUC_bs_50000	X-intercept_bs_50000	Elbow_Point_bs_50000	JS_Distance_bs_50000	Synthetic_JS_Distance_bs_50000	%_genome_enriched_bs_50000	CHANCE_bs_50000
A26689	CEMT_7	H3K36me3	A26691	0.182687189067	0.280801140495	0.14988293438192218	0.31159480847487925	0.7837164377403107	0.242886001566992	0.4237629060476102	18.561934696600037	0.3924120292521057	0.18433465792190787	0.20372230821734738	0.7900378417956943	0.26115718214428185	0.4075639776609205	17.933793461884314	0.3525604836902199	0.20715659098831546	0.14155872419657756	0.7949877078581044	0.2548744894825082	0.3801145988306007	17.78934895980268	0.32879636146935926	0.23967366592474865	0.08717031018249823	0.7966515122202876	0.09605260365523835	0.17981549018385418	18.47907396659573	0.2957611295258047	0.2437326218628889	0.0850160261577851	0.7901024771216117	0.0329442204022326	0.0	18.94020985560335	0.28890537401935323	0.24880018069306992	0.0817030773299277	0.7736088804607932	0.0	0.0	20.909202319446326	0.27760762769183395	0.2507069850916706	0.08019429312330066	0.7649904691869297	0.0	0.0	21.806693823839613	0.26996936086716067	0.25132411079954625	0.07899354838709677	0.7560387096774194	0.0	0.0	22.98709677419355	0.2590848298510395	0.25574046261457767	0.07832540130676777	0.7463095910300879	0.0	0.0	23.663789626522547	0.2601265095237114
A26696	CEMT_8	H3K36me3	A26698	0.166837316146	0.290682477504	0.13233100323563116	0.37715588116721876	0.8000608587388583	0.19545919146277835	0.4351481520769809	15.175821012630607	0.37133424492042977	0.16630737269815296	0.2556321791644756	0.8033361523112126	0.22059393565351107	0.4254928500705928	15.413301599143924	0.3412607829969519	0.19195382048139567	0.17243884155630607	0.8072434166512176	0.22100223169013075	0.4014642836424046	15.569315589660093	0.32507086377780164	0.22756803150349145	0.0880183143096666	0.8049961307796479	0.1350817489573396	0.2084143297996319	17.184980976333268	0.309995910692071	0.23151132948587458	0.08564481906887056	0.7974222715224527	0.08096817538934378	0.0	17.54235484557491	0.3051074171817297	0.23638788137719402	0.08226423369905249	0.7786657378561247	0.0	0.0	19.627572772950973	0.2915862880260967	0.23826024624767442	0.08096836931174951	0.769257564175754	0.0	0.0	20.59042661273936	0.2842817790422515	0.23927590622034645	0.07950967741935484	0.7592	0.0	0.0	21.788387096774194	0.27746502979928506	0.24208612576779331	0.07895458578688393	0.7512946680648545	0.0	0.0	22.29732999919335	0.2738489153321629
A26703	CEMT_9	H3K36me3	A26705	0.140793138563	0.313779623322	0.11236491786672283	0.4415545047191879	0.814200142005418	0.16412255649334173	0.4547140826471133	12.804198181064194	0.3837257206695471	0.1454996232011036	0.3210211957853467	0.8102306581204297	0.18487553078667765	0.4391394193131305	13.564883477991721	0.3550237346792741	0.1723983644867804	0.2301732237360948	0.8117830573089867	0.1757794656014244	0.4045691561356124	14.498290847959948	0.3352192668601154	0.2222195411544286	0.0912743259822691	0.8095451518927956	0.1151694361832944	0.20689751450616575	16.581086070165878	0.2973038313046347	0.22723021430397267	0.08612933911613434	0.8018670493204134	0.07139069545744958	0.0	17.597665382196926	0.28967260494723723	0.23229758309773005	0.08272272246445987	0.7829794370339792	0.0	0.0	19.07169947625068	0.2751719159274125	0.2341556827974856	0.0813755466965979	0.7733870031350389	0.0	0.0	20.055540503928476	0.2662085110262923	0.2352683048562304	0.08	0.7635354838709677	0.0	0.0	21.345806451612905	0.2549636473827273	0.23790841742987834	0.0792772444946358	0.7553117689763652	0.0	0.0	22.14406711301121	0.25575776941393197
A34023	CEMT_4	H3K36me3	A34025	0.216572136654	0.403570220998	0.06638090934525243	0.5586165476445644	0.8500710341033337	0.252335026701361	0.5420138037655792	7.814718606679217	0.4149103348111679	0.0843925129030242	0.4744929789395592	0.8436133063063963	0.2080021354212288	0.48942482976720525	9.208933333376322	0.4021223141180378	0.11068589045284315	0.3630336200156372	0.8344392768190355	0.16658590890827607	0.4128449657962763	11.60500713347251	0.39531288360538325	0.16549672420991918	0.14319017218030566	0.8124072999290642	0.11341793156577155	0.0	15.99503450054814	0.3847206680289773	0.18307368489613515	0.093857821861356	0.8003534138618204	0.034073948994779536	0.0	17.962195035438125	0.3789118777553303	0.19201837359093482	0.07951650251230351	0.7875990892496629	0.0	0.0	19.33086940536775	0.3720291463367634	0.19633007465105726	0.07720442384541698	0.7764855005853951	0.0	0.0	20.87393201675875	0.3662372706113027	0.20113429480255232	0.07561290322580645	0.7614322580645161	0.0	0.0	21.903225806451612	0.3556580661639939	0.2035466531108543	0.07476002258610955	0.7548439138501251	0.0	0.0	22.12954747116238	0.3508814780534518
A34039	CEMT_5	H3K36me3	A34041	0.168827056863	0.353487940109	0.10197804523962138	0.4322269139808992	0.7723936042482211	0.1931193410508175	0.48720253231041566	8.348273966723333	0.30185353352197236	0.13401257234527056	0.3275714091804964	0.7733714276870916	0.14235702926685695	0.41519853159303294	10.342865304551172	0.2877279679488334	0.1573491739673904	0.2516524668918211	0.7845891200438487	0.09555570305384245	0.3379247744775403	12.200962414257273	0.2999971666238577	0.21770577171620342	0.1006480944089766	0.8031018249822661	0.10937079915427754	0.0	16.314567614625652	0.28101853746305644	0.23243611378322285	0.08539652648346759	0.7949103244571422	0.05694074020413748	0.0	17.12380448732418	0.27292806498914157	0.23973148903567318	0.08154827557292775	0.7832259396144147	0.0	0.0	19.39537013745106	0.2615587833880469	0.24359890006468551	0.07997174621912162	0.7734375755933778	0.0	0.0	19.97116566198028	0.25236439490306367	0.2478092127844259	0.07816774193548387	0.7598322580645162	0.0	0.0	21.547096774193548	0.21989033046720124	0.25010431386453885	0.07726062757118658	0.7535694119545051	0.0	0.0	21.08897313866258	0.24112865587085014
A34078	CEMT_6	H3K36me3	A34080	0.17868462184	0.238423426996	0.16847873429955312	0.2968500089372973	0.7261085924182314	0.2064357938762671	0.38382967430549225	13.042399157495296	0.27232076130207084	0.2011109700405452	0.21409905929106843	0.7279541797338597	0.20689408177778404	0.36422599727818705	14.150081393553062	0.2584926198266433	0.2372362813998419	0.1349050079395146	0.7516458573466707	0.19464117798365257	0.32718427103868764	16.156759065958425	0.2521911012755742	0.27120879612411053	0.08277229638227897	0.7851599277745535	0.10841916566000678	0.13245829890297914	18.254014316115303	0.2463786823221878	0.27684158575486206	0.07948587311926428	0.7821474406516229	0.030448551724045207	0.0	19.27105166420524	0.24172335946226625	0.2819255047312848	0.07703322432709611	0.7698807381463779	0.0	0.0	20.825996375058857	0.23195317360056997	0.28404170131226847	0.07570465123029735	0.7609652730069957	0.0	0.0	22.083426061210076	0.2251231548756883	0.2812563578942955	0.07438709677419354	0.7536903225806452	0.0	0.0	22.713548387096775	0.21394005838250008	0.2885122857696421	0.07346938775510205	0.743324997983383	0.0	0.0	22.36024844720497	0.21959884208534716
A34085	CEMT_40	H3K36me3	A34087	0.148822644278	0.214791983605	0.1511166962506867	0.41106770138129606	0.7027164741085337	0.16965133656343306	0.35473982176820373	12.22751882829324	0.24426451483148695	0.18697373556616384	0.317664899727463	0.6752290835979013	0.17337493013860245	0.3350687888677203	13.79806918822787	0.22607761603615747	0.22226920168079128	0.2300959996130998	0.6745698556378614	0.1757482835202582	0.3099357618327812	16.700772994365767	0.225330682607334	0.2919569569328465	0.09396885277616561	0.7410814470884117	0.09122858105471568	0.14005888291485175	19.117334107177403	0.19950171417431337	0.3020028480195658	0.08572543354465074	0.7478346951805441	0.030952197516474808	0.0	20.217465609864632	0.19422370131159877	0.30988879942113645	0.08277378948251063	0.7373788192495985	0.0	0.0	21.991524603804255	0.1840150763329081	0.31203376231287455	0.08135540740597394	0.7306021345150896	0.0	0.0	23.085854725251334	0.17929608718724785	0.31359236505274235	0.07983225806451613	0.7233032258064516	0.0	0.0	23.518709677419356	0.17374838359006553	0.3170548917755143	0.07885778817455837	0.7139469226425749	0.0	0.0	24.12035169799145	0.17172445149739005
A34092	CEMT_41	H3K36me3	A34094	0.106778374623	0.190022324844	0.16762208767888115	0.37421598752234647	0.6724002072730771	0.1241431808210683	0.3350859649359435	13.209067500711244	0.19572655791394641	0.20260989347664848	0.289888563859199	0.6458576017451655	0.12905692774587027	0.31497689811311164	14.846448458648883	0.1805100360842466	0.2384339100807117	0.21053658222032354	0.633679662751989	0.13190001272051385	0.28879963430777705	18.594746217647486	0.18310359884607244	0.30989491388518514	0.09185690333397821	0.6882117753272715	0.059707661194052235	0.11843810838476694	19.16731153672535	0.15767990256606032	0.32037081382897487	0.08537072985121792	0.7064149775246842	0.011343747930360202	0.0	19.716688486318112	0.15287785942371027	0.3291973675853692	0.08270928875042732	0.7129136915703993	0.0	0.0	20.495752626792314	0.1438571361779818	0.33202492551294827	0.0812392959777066	0.7122758807535632	0.0	0.0	20.826519850216258	0.139700527651699	0.3324963979144075	0.07967741935483871	0.7095483870967741	0.0	0.0	21.690322580645162	0.1324678323993631	0.33722827393984556	0.07868032588529483	0.7001048640800194	0.0	0.0	22.576429781398726	0.1313770403140864
A34384	CEMT_42	H3K36me3	A34386	0.20212561186	0.297211602431	0.12425318102035662	0.3872547047196926	0.7659506898484425	0.23861329280481883	0.44746867730183637	10.725008260229336	0.31395107752796625	0.14811988796927122	0.3079611890261694	0.7670161532913529	0.2352162709361087	0.4247673025215516	12.041619204558168	0.30235854417567815	0.1841337997815322	0.2078502051377123	0.7716743912367103	0.19624097203417312	0.35918305990335037	14.59896987820704	0.29472122338962503	0.2323341896969469	0.09505707100019346	0.7742019733023796	0.08797787741470983	0.14074625130988358	17.924808151157542	0.2820861771670882	0.2417302354738436	0.0858318446526806	0.7663566771357999	0.017337455718099144	0.0	19.362952166594653	0.2763185787849327	0.24961476937008076	0.08284474028780227	0.7508078716693435	0.0	0.0	20.906622290162993	0.2646425575710041	0.25296467017297003	0.08142313907246321	0.7408973478214593	0.0	0.0	22.419181607949763	0.25765215228163224	0.25595688019189616	0.07990967741935484	0.7317677419354839	0.0	0.0	23.06193548387097	0.25018272430334426	0.2587389580332175	0.07892231991610874	0.7233685569089295	0.0	0.0	23.820279099782205	0.2463019526681152
A34391	CEMT_43	H3K36me3	A34393	0.212238469858	0.30828357473	0.10787998182453433	0.45816906374524086	0.7821400300386044	0.24257486377180054	0.4531613815901168	10.314408445062446	0.3243622054684541	0.13457496658259463	0.3658099359781429	0.7727586788354516	0.2409254528731769	0.43037381709701705	12.042973345666764	0.31012319008410694	0.17146172209751978	0.2507271305707584	0.7717082450045541	0.20633369238874516	0.3736509418597779	14.84810136785343	0.3017623495486473	0.22635945737184573	0.1026810472689753	0.7737086477074869	0.11220650760985068	0.16449382789051675	18.875346617656543	0.2813520745762227	0.237497025816199	0.0867830954668868	0.7664759865599546	0.039402510802578894	0.0	19.738615623730322	0.27551951542031833	0.245594103450764	0.08267058831117734	0.7522075375555513	0.0	0.0	21.34587227565033	0.26453623479765015	0.24903727816331897	0.08111350859708366	0.7429486497208487	0.0	0.0	21.956671085351577	0.2575537604476107	0.2513012664062055	0.07932903225806452	0.7336774193548387	0.0	0.0	23.01290322580645	0.24395610788845942	0.2546403075325586	0.07834153424215536	0.726369282891022	0.0	0.0	24.142937807534082	0.24789499811800406
