chip_id	sample	hm	input_id	CEMT_JSD	CEMT_JSD_synthetic	AUC_bs_100	X-intercept_bs_100	Elbow_Point_bs_100	JS_Distance_bs_100	Synthetic_JS_Distance_bs_100	%_genome_enriched_bs_100	CHANCE_bs_100	AUC_bs_200	X-intercept_bs_200	Elbow_Point_bs_200	JS_Distance_bs_200	Synthetic_JS_Distance_bs_200	%_genome_enriched_bs_200	CHANCE_bs_200
A26693	CEMT_8	H3K4me3	A26698	0.443098919999	0.492759113159	0.06835629144598798	0.5083176096076569	0.9014888300987092	0.49374010174088007	0.5935429952275685	2.2406091457627255	0.5422942365205895	0.0814158163060211	0.4501904485977078	0.9017149304749289	0.41748372176330045	0.5241455998509159	2.225452269072088	0.5296430867453115
A26700	CEMT_9	H3K4me3	A26705	0.398703856415	0.468224977836	0.06177354003424539	0.6143480878161053	0.8737433193235276	0.4585490165137673	0.5778460900897068	2.4207950101323075	0.5127246154828943	0.07601968958426168	0.558778399132734	0.865145469022399	0.4098466102838661	0.5293836472067	2.340282243202302	0.49540779588577294
A28471	CEMT_7	H3K4me3	A26691	0.484056404137	0.558207375583	0.015215533113089383	0.8418604961582742	0.9299937244782877	0.5473021543560251	0.6622223910040522	2.923701856231228	0.7041382574256705	0.019162005666835628	0.8159485272363961	0.9186145186322386	0.4895471428609118	0.6031353966123814	3.2179247003388993	0.6859112114879101
A34020	CEMT_4	H3K4me3	A34025	0.358621988733	0.411858137973	0.0659191407147846	0.6157348499891976	0.7941187252453424	0.41295402042797313	0.5254109513976283	1.4644314299271286	0.39686760546716543	0.07636469400519572	0.5755181633480019	0.7885133676432695	0.3541461567918973	0.4726644146826979	1.4660843108260462	0.38690071814540195
A34036	CEMT_5	H3K4me3	A34041	0.29496433823	0.359714354667	0.08311164706708307	0.5788407600650926	0.761857030984488	0.3397586207306862	0.4822139035330957	2.9685099686669516	0.322131046749258	0.09525310934323435	0.5370988114297328	0.75279087420696	0.30426457689054776	0.44936878686054155	2.7046673326436266	0.3156628157928521
A34075	CEMT_6	H3K4me3	A34080	0.248756229421	0.282958513623	0.1575029826232665	0.34710719740594353	0.7048549217918301	0.29539544335070095	0.4062616230362652	8.327353380900192	0.2698544418651951	0.17327520551952322	0.30275649205019023	0.7015003955366648	0.27406546038412793	0.38574385991929194	7.264062443980685	0.26360167905131626
A34082	CEMT_40	H3K4me3	A34087	0.170088400084	0.214268276734	0.17102318796044752	0.39840888611097974	0.6439562275542215	0.20159370474711574	0.3238683969696975	12.319530613310176	0.19672731354141387	0.18959374007456226	0.35193277759593666	0.6351881642842901	0.1980398150180172	0.318008187932821	12.367407520896897	0.18019090587452527
A34089	CEMT_41	H3K4me3	A34094	0.227547061364	0.278019287557	0.147535240414354	0.38817856842685844	0.676817201932697	0.26716033036605197	0.40265323080846227	5.198145734914011	0.25411468710967683	0.15973079698227927	0.3505778168891711	0.6788053552719363	0.233038437673124	0.376832600598967	4.975569313750441	0.2508397455350429
A34381	CEMT_42	H3K4me3	A34386	0.287035141068	0.323341426321	0.11765162846471648	0.46215242241835885	0.7291698484785322	0.3333215487686687	0.4447162197451936	4.402695848641093	0.3152986405288514	0.12981230655209483	0.4224437975543531	0.7205557322380566	0.2879483642428089	0.4081547679856602	3.5988290979829562	0.3160108117536657
A34388	CEMT_43	H3K4me3	A34393	0.29866318385	0.328406267456	0.10434718830429793	0.5483916708765725	0.7569119915754811	0.3518021057105646	0.4377418880177685	7.256568702487831	0.321586768644018	0.12108856679290483	0.4989502222201588	0.7304614302100252	0.33579979498969176	0.41995446177609314	5.018589062553601	0.314933413911434
A34707	CEMT_44	H3K4me3	A34712	0.33493040553	0.382242494471	0.08304923898209852	0.5462193175403265	0.7738117450038017	0.37991042508384354	0.49728897822009915	2.400325017951142	0.4093339808581692	0.0928090264614846	0.5083387692219599	0.7665408351949479	0.3184094268268916	0.4484048128295749	2.3373611784954957	0.40427884996313
A34714	CEMT_45	H3K4me3	A34719	0.30732179048	0.354995669303	0.10562766103625128	0.47058171307171015	0.7390755965613122	0.3448358718071056	0.46785424804776793	2.989666700229845	0.3542371839736984	0.11609936470950911	0.4323342776174739	0.7406197067792689	0.28287364299469053	0.419521758869529	2.78080846301442	0.3521531769957522
A34721	CEMT_32	H3K4me3	A34726	0.308810164223	0.365409703269	0.086397807917811	0.5435622809587514	0.7641713104596244	0.348317159025784	0.4792183747085	2.3123643427760645	0.3655967847550997	0.09616815742376503	0.5045384833832042	0.7583483771389867	0.29431614241995957	0.4375026428556744	2.3041848475539535	0.3595614479329982
A34939	CEMT_26	H3K4me3	A34944	0.206699010215	0.240769322089	0.13644500096172335	0.48652299756388073	0.6729966304954909	0.24015423660529472	0.35974008113827555	7.932268668050914	0.1934295820870728	0.1513650023474413	0.4461434981742378	0.6602554132552113	0.23008070087611002	0.3476235557003131	7.7540275227488396	0.18130305545314032
