chip_id	sample	hm	input_id	CEMT_JSD	CEMT_JSD_synthetic	AUC_bs_100	X-intercept_bs_100	Elbow_Point_bs_100	JS_Distance_bs_100	Synthetic_JS_Distance_bs_100	%_genome_enriched_bs_100	CHANCE_bs_100	AUC_bs_200	X-intercept_bs_200	Elbow_Point_bs_200	JS_Distance_bs_200	Synthetic_JS_Distance_bs_200	%_genome_enriched_bs_200	CHANCE_bs_200
A26690	CEMT_7	H3K27ac	A26691	0.090425049409	0.188191145877	0.1664303364613647	0.5267018904979355	0.5267018582562456	0.09962632071250409	0.22194571270178037	47.32981739854443	0.48568764647869206	0.1969598214217718	0.45557778802348486	0.4555777235400136	0.09672673344307431	0.21569843106298328	54.442234094345764	0.4383135795833228
A26697	CEMT_8	H3K27ac	A26698	0.220620067497	0.266679036907	0.19373939176594182	0.1943330297672519	0.7387841704485609	0.25125087863689116	0.40280653452646886	16.12517854631461	0.27878836457413453	0.20733447279325096	0.15749324261975814	0.7550329158912265	0.2394408333475953	0.3917632886257214	14.534875510539527	0.2703456853953379
A26704	CEMT_9	H3K27ac	A26705	0.223332713164	0.299403839501	0.1438963633120251	0.37176581378203766	0.7418732127232599	0.25372880478494164	0.42442814627053643	10.295623238274784	0.3094573319721134	0.16060832989226717	0.3195808009345455	0.7647359316331158	0.24128308880078514	0.4129690791657861	9.984344067095272	0.29709523923225106
A34024	CEMT_4	H3K27ac	A34025	0.281489422962	0.350416470794	0.07059695069711425	0.6438281329268223	0.7730289265912034	0.31574242416509535	0.4583833826407551	1.3933684124968126	0.3131729215575993	0.08074451483771836	0.6070038877888146	0.758448712165119	0.2726425089845084	0.42369041196605917	1.3954886896116623	0.30547491984831177
A34040	CEMT_5	H3K27ac	A34041	0.171866389667	0.231810119953	0.1122275165913545	0.5697763805694281	0.7146126178914696	0.1862839619657262	0.3527754522954819	6.592611013113724	0.1612872583694879	0.12651573185995602	0.5286296582599327	0.6892184468911746	0.1842363213183377	0.34672332879090556	5.895217991385632	0.15129058428359993
A34079	CEMT_6	H3K27ac	A34080	0.145654349022	0.191357497431	0.1724354229426887	0.4351209417369986	0.678203533625549	0.18964500820194108	0.28494417381231985	21.581249345300396	0.21569583092340314	0.19463532240945688	0.3807017184114257	0.6444230490963271	0.18522036364956002	0.27972194685468926	16.30591195124285	0.18747856806572866
A34086	CEMT_40	H3K27ac	A34087	0.0864277710938	0.191936554049	0.1903855563551725	0.3234578598176633	0.6076926804511703	0.1059436463628151	0.32152406661828165	10.321692907365337	0.12669862546998287	0.20045941941773762	0.2901543869749144	0.6057628544257418	0.10768987563895929	0.3227357736278671	10.420862876066124	0.1253969228805123
A34093	CEMT_41	H3K27ac	A34094	0.180629444718	0.252366952505	0.14027641222243312	0.4044361042687043	0.6951501336417406	0.21184338365868238	0.39339073763906235	9.025722194317389	0.25161519716895386	0.15104719764144683	0.3663316921205537	0.7011020861173723	0.21166043929377917	0.3929528696364907	8.812645875908013	0.2477354189684561
A34385	CEMT_42	H3K27ac	A34386	0.153625403809	0.235337926673	0.13593902484198267	0.43868708584658184	0.69136426517129	0.17941986649843614	0.37899928746341977	8.926383569479793	0.21411879543837078	0.14555701839581978	0.40305237720501697	0.6926250015798253	0.17881299089630748	0.3809421241729236	8.868990828243717	0.20963708361117786
A34392	CEMT_43	H3K27ac	A34393	0.170397387025	0.241663175371	0.1382496803771869	0.4284436102979053	0.6939371197563539	0.1957722860045724	0.3821941225682443	8.148075712726664	0.21955207047219163	0.14982944596353387	0.3897013704629675	0.6920125452313651	0.1938994038889128	0.3805026691306984	7.729749799523396	0.21562998728115718
A34711	CEMT_44	H3K27ac	A34712	0.092994850471	0.223536303374	0.1311460428571006	0.48076489741645095	0.6941796709473744	0.10996893539899896	0.3603882992543308	10.130070050963477	0.15907914164540193	0.14024915660698253	0.4450539345903326	0.6869905708289195	0.11262520289996746	0.3650072498647371	10.213583350679171	0.1571636815810348
A34718	CEMT_45	H3K27ac	A34719	0.0999005115362	0.220332282961	0.1293513329946877	0.48243899392616096	0.6993284107983416	0.10861089755996126	0.3611940499808289	11.344718569526382	0.18092113770478985	0.139207358421787	0.4450952034956826	0.6959205816026831	0.10882896800352734	0.36525298332030504	11.17098326520095	0.1769092762929215
A34725	CEMT_32	H3K27ac	A34726	0.164319417304	0.240024477202	0.11428659077434646	0.5394344936552857	0.7151198700366677	0.18960175597702336	0.3715638503865187	5.879011416413516	0.187381157735747	0.12501178340934935	0.5024008830514022	0.7007560721390783	0.1840584049769564	0.3679965891881323	5.516891749855752	0.18271070196528033
A34943	CEMT_26	H3K27ac	A34944	0.0866550172379	0.1949822354	0.12896182369422296	0.5321724020205871	0.6896214947234073	0.08810704128577539	0.3247818519917003	5.513572565606422	0.0839878354406594	0.1390352631719654	0.49783364039978223	0.6772682615551	0.08684682109303565	0.3280666632818931	5.389738383512453	0.08198808921462955
A34950	CEMT_27	H3K27ac	A34951	0.120430130913	0.166778188644	0.1666755744055539	0.4259545508139264	0.6381386744762798	0.11658444447038652	0.30238763732572116	10.84758696385523	0.08531325348403582	0.1781156894034582	0.39121600377197796	0.6262573152358866	0.11646923784367819	0.30408491814663846	9.989048264242738	0.07956982455816863
A34957	CEMT_28	H3K27ac	A34958	0.172386047374	0.229516409888	0.10825508533318479	0.568821393692115	0.7214518650664801	0.19192880072611068	0.36287660506943575	7.54238447455716	0.21790255962935304	0.1202256433202097	0.5313744273616969	0.7038845775779331	0.19195170516259782	0.36287305494920674	7.3337424113576155	0.20613717268277357
